model,technique,P,type
AdaBoost,impute_knn,4.950784928542925,CAT
AdaBoost,impute_kproto,4.207294330725687,CAT
AdaBoost,impute_logistic_regression,4.5284465385170645,CAT
AdaBoost,impute_mice,4.6235935983076155,CAT
AdaBoost,impute_mode,4.620705926179293,CAT
AdaBoost,impute_random,10.390719243385181,CAT
AdaBoost,impute_random_forest,7.361266339379331,CAT
AdaBoost,impute_standard,0.0,CAT
DecisionTree,impute_knn,7.307930209259385,CAT
DecisionTree,impute_kproto,4.487937631961651,CAT
DecisionTree,impute_logistic_regression,5.70644286637095,CAT
DecisionTree,impute_mice,7.1576426351252485,CAT
DecisionTree,impute_mode,4.535815262560687,CAT
DecisionTree,impute_random,6.601143203814701,CAT
DecisionTree,impute_random_forest,5.932114749005217,CAT
DecisionTree,impute_standard,0.0,CAT
KNN,impute_knn,12.690384071854105,CAT
KNN,impute_kproto,9.713498957134926,CAT
KNN,impute_logistic_regression,11.476962002235405,CAT
KNN,impute_mice,12.702117473661826,CAT
KNN,impute_mode,9.574554694788032,CAT
KNN,impute_random,13.082887936689497,CAT
KNN,impute_random_forest,12.002075721249428,CAT
KNN,impute_standard,0.0,CAT
LogisticRegression,impute_knn,10.190004653138145,CAT
LogisticRegression,impute_kproto,6.014402135209578,CAT
LogisticRegression,impute_logistic_regression,7.736841227415063,CAT
LogisticRegression,impute_mice,10.103849390239015,CAT
LogisticRegression,impute_mode,6.065108191951753,CAT
LogisticRegression,impute_random,8.795066779375217,CAT
LogisticRegression,impute_random_forest,8.374471261829134,CAT
LogisticRegression,impute_standard,0.0,CAT
RandomForest,impute_knn,7.413160181918223,CAT
RandomForest,impute_kproto,5.675811511219428,CAT
RandomForest,impute_logistic_regression,5.881402705195474,CAT
RandomForest,impute_mice,7.660129700390329,CAT
RandomForest,impute_mode,5.681230966025556,CAT
RandomForest,impute_random,7.161459330529664,CAT
RandomForest,impute_random_forest,7.381429897787823,CAT
RandomForest,impute_standard,0.0,CAT
SVC,impute_knn,23.77687028974325,CAT
SVC,impute_kproto,27.162277470196816,CAT
SVC,impute_logistic_regression,25.311683859043942,CAT
SVC,impute_mice,23.38721241770499,CAT
SVC,impute_mode,28.227841760458343,CAT
SVC,impute_random,32.005622336839664,CAT
SVC,impute_random_forest,28.941336813453127,CAT
SVC,impute_standard,0.0,CAT
