dataset,perc,mean,median
character,50,16.007151604525067,14.255328398399245
character,60,16.012678191995978,14.25888273120198
character,70,16.018817545808556,14.263081939655434
character,80,16.02556890107973,14.267925341501494
character,90,16.032931394085765,14.273412150349095
consumer,50,15.996125283780197,14.252648978996085
consumer,60,15.99788411239337,14.25289165958297
consumer,70,15.999684882159205,14.2531784575409
consumer,80,16.000952190975017,14.253509369684132
consumer,90,16.001869723529044,14.25388439233716
galaxy,50,21.388026370278965,20.004942801185603
galaxy,60,21.38086732350064,20.137998210978537
galaxy,70,21.38182126204003,20.292985746398877
galaxy,80,21.401971013815253,20.468853542217445
galaxy,90,21.44309734398665,20.66444347172714
heart,50,17.116265907607723,15.47911683947839
heart,60,17.175988729828497,15.678115593850787
heart,70,17.22926039724754,15.90891714092023
heart,80,17.310225403585527,16.169527281161564
heart,90,17.420652550285624,16.457780846675956
pet,50,19.11284125807066,17.5239628458827
pet,60,19.119326210392256,17.528197125965693
pet,70,19.1265405788225,17.533199140506895
pet,80,19.134483176269477,17.5389678243948
pet,90,19.14315266178165,17.54550195035283
weather,50,17.555524165352434,15.894776114739887
weather,60,17.55665208697167,15.894880952845403
weather,70,17.5577981332132,15.89500485117824
weather,80,17.558962301760367,15.89514780911519
weather,90,17.560144590205432,15.895309825937154
